keyword,year,month,field_previous,field,count
abortion,2022,6,법학,정치외교학,1
abortion,2022,8,정치외교학,법학,1
abortion,2022,9,법학,신문방송학,1
abortion,2022,10,신문방송학,법학,1
abortion,2022,11,법학,사회과학 일반,1
abortion,2022,12,사회과학 일반,사회학,1
abortion,2023,1,사회학,법학,1
abortion,2023,6,법학,사회학,1
abortion,2023,12,사회학,법학,1
abortion,2024,3,법학,사회학,1
abortion,2024,6,사회학,법학,1
absorptive capacity,2022,4,경영학,무역학,1
absorptive capacity,2022,8,경영학,무역학,1
absorptive capacity,2022,8,무역학,경영학,1
absorptive capacity,2022,11,무역학,경영학,1
abuse,2021,2,사회학,법학,1
abuse,2021,7,법학,사회학,1
abuse,2021,9,사회학,법학,1
abuse,2021,10,법학,사회학,1
abuse,2021,11,사회과학 일반,법학,1
abuse,2021,11,사회학,사회과학 일반,1
abuse,2022,3,법학,사회학,1
abuse,2022,4,사회학,법학,1
abuse,2023,10,법학,사회학,1
abuse,2023,11,사회학,법학,1
abuse,2025,3,법학,행정학,1
abuse,2025,4,행정학,법학,1
abusive supervision,2021,12,관광학,경영학,1
abusive supervision,2023,3,경영학,관광학,1
abusive supervision,2023,3,관광학,경영학,1
academic,2021,10,법학,군사학,1
academic,2021,12,군사학,법학,1
academic,2023,12,법학,정치외교학,1
academic,2023,12,정치외교학,법학,1
academic,2025,6,법학,지리학,1
academic,2025,6,지리학,군사학,1
academic,2025,10,군사학,사회학,1
academic achievement,2021,3,관광학,교육학,1
academic achievement,2021,6,관광학,교육학,1
academic achievement,2021,6,교육학,관광학,1
academic achievement,2021,11,교육학,관광학,1
academic achievement,2021,12,관광학,지리학,1
academic achievement,2021,12,지리학,교육학,1
academic achievement,2022,1,교육학,사회과학 일반,1
academic achievement,2022,3,사회과학 일반,교육학,1
academic achievement,2022,6,관광학,교육학,1
academic achievement,2022,6,교육학,관광학,1
academic achievement,2022,8,교육학,사회학,1
academic achievement,2022,10,사회과학 일반,교육학,1
academic achievement,2022,10,사회학,사회과학 일반,1
academic achievement,2023,12,교육학,무역학,1
academic achievement,2023,12,무역학,교육학,1
academic achievement,2024,4,교육학,신문방송학,1
academic achievement,2024,4,사회학,교육학,1
academic achievement,2024,4,신문방송학,사회학,1
academic achievement,2024,7,교육학,사회과학 일반,1
academic achievement,2024,8,교육학,사회학,1
academic achievement,2024,8,사회과학 일반,교육학,1
academic achievement,2024,9,사회학,교육학,1
academic achievement,2024,12,교육학,지리학,1
academic achievement,2024,12,지리학,교육학,1
academic achievement,2025,6,경영학,지리학,1
academic achievement,2025,6,교육학,경영학,1
academic achievement,2025,6,지리학,교육학,1
academic achievement,2025,8,관광학,사회학,1
academic achievement,2025,8,교육학,관광학,1
academic achievement,2025,9,사회과학 일반,교육학,1
academic achievement,2025,9,사회학,사회과학 일반,1
academic engagement,2021,3,사회과학 일반,교육학,1
academic engagement,2024,11,교육학,사회과학 일반,1
academic engagement,2025,2,사회과학 일반,지리학,1
academic engagement,2025,3,지리학,교육학,1
academic procrastination,2022,12,교육학,사회과학 일반,1
academic procrastination,2022,12,사회과학 일반,교육학,1
academic procrastination,2023,7,교육학,신문방송학,1
academic procrastination,2023,12,신문방송학,교육학,1
academic procrastination,2025,8,교육학,지리학,1
academic self-efficacy,2022,6,신문방송학,교육학,1
academic self-efficacy,2022,8,교육학,무역학,1
academic self-efficacy,2022,8,무역학,교육학,1
academic self-efficacy,2023,2,교육학,무역학,1
academic self-efficacy,2023,8,무역학,교육학,1
academic self-efficacy,2023,10,관광학,교육학,1
academic self-efficacy,2023,10,교육학,관광학,1
academic self-efficacy,2023,12,교육학,행정학,1
academic self-efficacy,2024,7,행정학,교육학,1
academic self-efficacy,2024,11,교육학,신문방송학,1
academic self-efficacy,2025,2,관광학,교육학,1
academic self-efficacy,2025,2,신문방송학,관광학,1
academic self-efficacy,2025,10,교육학,관광학,1
academic stress,2022,1,교육학,사회학,1
academic stress,2022,9,사회학,교육학,1
academic stress,2022,12,교육학,사회학,1
academic stress,2023,6,사회학,행정학,1
academic stress,2023,8,행정학,교육학,1
academic stress,2023,11,교육학,사회과학 일반,1
academic stress,2023,12,사회과학 일반,교육학,1
academic stress,2024,5,교육학,사회과학 일반,1
academic stress,2024,9,사회과학 일반,교육학,1
academic stress,2025,2,교육학,사회과학 일반,1
academic stress,2025,5,사회과학 일반,교육학,1
academic stress,2025,8,교육학,지리학,1
academic stress,2025,9,지리학,교육학,1
academic stress,2025,10,교육학,사회학,1
accelerator,2022,3,무역학,지리학,1
accelerator,2022,4,지리학,경영학,1
accelerator,2023,12,경영학,경제학,1
accelerator,2024,3,경제학,지리학,1
accelerator,2024,8,지리학,경영학,1
acceptance,2021,3,교육학,정치외교학,1
acceptance,2021,6,정치외교학,관광학,1
acceptance,2021,8,관광학,법학,1
acceptance,2021,11,법학,지리학,1
acceptance,2021,12,지리학,행정학,1
acceptance,2022,2,행정학,법학,1
acceptance,2022,11,법학,경제학,1
acceptance,2023,1,경제학,법학,1
acceptance,2023,3,법학,행정학,1
acceptance,2023,9,행정학,신문방송학,1
acceptance,2023,11,신문방송학,법학,1
acceptance,2024,6,법학,군사학,1
acceptance,2024,10,군사학,신문방송학,1
acceptance,2024,12,사회과학 일반,법학,1
acceptance,2024,12,신문방송학,사회과학 일반,1
acceptance,2025,6,법학,군사학,1
acceptance,2025,8,군사학,법학,1
acceptance,2025,10,법학,경영학,1
acceptance intention,2021,9,무역학,신문방송학,1
acceptance intention,2022,6,신문방송학,관광학,1
acceptance intention,2022,8,관광학,사회학,1
acceptance intention,2022,12,사회학,경영학,1
acceptance intention,2023,2,경영학,관광학,1
acceptance intention,2023,8,경영학,무역학,1
acceptance intention,2023,8,관광학,경영학,1
acceptance intention,2023,11,무역학,경영학,1
acceptance intention,2024,5,경영학,지리학,1
acceptance intention,2025,2,지리학,무역학,1
acceptance intention,2025,5,무역학,관광학,1
access,2023,7,법학,경제학,1
access,2023,8,경제학,법학,1
access,2023,10,법학,사회과학 일반,1
access,2023,10,사회과학 일반,법학,1
access,2024,12,법학,사회학,1
access,2025,2,사회학,법학,1
access,2025,8,법학,교육학,1
access,2025,9,교육학,법학,1
accessibility,2021,6,지리학,행정학,1
accessibility,2021,7,행정학,경제학,1
accessibility,2021,12,경제학,지리학,1
accessibility,2022,6,지리학,법학,1
accessibility,2022,8,법학,교육학,1
accessibility,2022,9,관광학,지리학,1
accessibility,2022,9,교육학,관광학,1
accessibility,2023,4,경영학,행정학,1
accessibility,2023,4,지리학,경영학,1
accessibility,2023,5,행정학,관광학,1
accessibility,2023,6,관광학,지리학,1
accessibility,2023,8,법학,행정학,1
accessibility,2023,8,지리학,법학,1
accessibility,2023,12,경영학,법학,1
accessibility,2023,12,법학,사회학,1
accessibility,2023,12,행정학,경영학,1
accessibility,2024,2,사회학,경영학,1
accessibility,2024,4,경영학,지리학,1
accessibility,2024,6,법학,행정학,1
accessibility,2024,6,지리학,법학,1
accessibility,2024,6,행정학,사회학,1
accessibility,2024,8,사회학,지리학,1
accessibility,2024,11,경제학,교육학,1
accessibility,2024,11,지리학,경제학,1
accessibility,2024,12,교육학,지리학,1
accessibility,2024,12,지리학,사회학,1
accessibility,2025,2,사회학,지리학,1
accessibility,2025,3,지리학,교육학,1
accessibility,2025,4,관광학,지리학,1
accessibility,2025,4,교육학,관광학,1
accessibility,2025,6,지리학,법학,1
accessibility,2025,8,법학,관광학,1
accessible tourism,2022,5,경영학,관광학,1
accessible tourism,2023,12,관광학,사회학,1
accessible tourism,2024,5,사회학,관광학,1
accident,2021,8,경영학,법학,1
accident,2021,8,법학,경영학,1
accident,2021,9,경제학,법학,1
accident,2021,9,법학,경제학,1
accident,2021,9,법학,사회학,1
accident,2021,11,사회학,법학,1
accident,2023,6,법학,군사학,1
accident,2023,7,군사학,법학,1
accident,2023,9,군사학,법학,1
accident,2023,9,법학,군사학,1
accident,2024,12,경영학,법학,1
accident,2024,12,법학,경영학,1
accident,2025,8,법학,경제학,1
accident,2025,8,법학,지리학,1
accident,2025,8,지리학,법학,1
accident,2025,9,경제학,법학,1
accidents,2021,6,법학,사회과학 일반,1
accidents,2021,6,사회과학 일반,법학,1
accidents,2022,2,법학,경제학,1
accidents,2022,4,경제학,법학,1
accidents,2023,12,법학,사회학,1
accidents,2024,3,사회학,법학,1
accidents,2024,6,법학,경제학,1
accidents,2024,7,경제학,법학,1
accommodation,2021,12,정치외교학,법학,1
accommodation,2022,3,법학,행정학,1
accommodation,2022,6,행정학,법학,1
accommodation,2022,9,법학,행정학,1
accommodation,2022,11,행정학,법학,1
accommodation,2025,3,법학,행정학,1
account,2021,12,법학,경제학,1
account,2022,2,경제학,법학,1
account,2023,3,법학,경제학,1
account,2023,5,경제학,법학,1
account,2024,12,법학,경제학,1
account,2025,3,경제학,법학,1
accountability,2021,4,법학,경제학,1
accountability,2021,6,경제학,정치외교학,1
accountability,2021,6,정치외교학,지리학,1
accountability,2021,6,지리학,법학,1
accountability,2021,12,법학,지리학,1
accountability,2021,12,법학,행정학,1
accountability,2021,12,지리학,법학,1
accountability,2022,2,행정학,법학,1
accountability,2022,6,법학,사회과학 일반,1
accountability,2022,6,법학,행정학,1
accountability,2022,6,사회과학 일반,법학,1
accountability,2022,9,행정학,법학,1
accountability,2022,11,법학,신문방송학,1
accountability,2022,11,신문방송학,행정학,1
accountability,2022,12,법학,행정학,1
accountability,2022,12,사회과학 일반,법학,1
accountability,2022,12,행정학,사회과학 일반,1
accountability,2023,4,경제학,법학,1
accountability,2023,4,행정학,경제학,1
accountability,2023,6,법학,신문방송학,1
accountability,2023,6,신문방송학,법학,1
accountability,2023,11,법학,신문방송학,1
accountability,2023,11,신문방송학,행정학,1
accountability,2023,12,경영학,법학,1
accountability,2023,12,법학,행정학,1
accountability,2023,12,행정학,경영학,1
accountability,2024,8,행정학,법학,1
accountability,2024,10,경영학,법학,1
accountability,2024,10,법학,경영학,1
accountability,2025,3,법학,행정학,1
accountability,2025,4,법학,경제학,1
accountability,2025,4,행정학,법학,1
accountability,2025,5,경제학,법학,1
accountability,2025,8,법학,지리학,1
accountability,2025,9,지리학,사회학,1
accountability,2025,10,법학,교육학,1
accountability,2025,10,사회학,법학,1
accounting,2021,3,경제학,법학,1
accounting,2021,8,경제학,법학,1
accounting,2021,8,법학,경제학,1
accounting,2022,6,법학,경제학,1
accounting,2022,11,경제학,법학,1
accounting,2024,6,법학,경영학,1
accounting,2024,8,경영학,경제학,1
accounting,2024,9,경제학,법학,1
accounting,2024,10,법학,경제학,1
accounting,2025,3,경제학,법학,1
accounting,2025,8,법학,경제학,1
accounting transparency,2022,8,경영학,교육학,1
accounting transparency,2022,12,교육학,경영학,1
accounting transparency,2023,2,경영학,무역학,1
accounting transparency,2023,6,무역학,경영학,1
accounting transparency,2024,6,경영학,행정학,1
accounting transparency,2024,10,행정학,경영학,1
acculturation,2021,6,지리학,경영학,1
acculturation,2021,7,경영학,사회과학 일반,1
acculturation,2022,2,사회과학 일반,관광학,1
acculturation,2022,6,관광학,무역학,1
acculturation,2022,7,무역학,관광학,1
acculturation,2022,9,관광학,정치외교학,1
acculturation,2022,10,정치외교학,사회과학 일반,1
acculturation,2023,5,사회과학 일반,지리학,1
acculturation,2023,6,지리학,교육학,1
acculturation,2023,11,교육학,사회학,1
acculturation,2023,12,사회학,경영학,1
acculturation,2024,12,경영학,사회과학 일반,1
acculturation,2025,3,사회과학 일반,교육학,1
acculturation,2025,8,교육학,지리학,1
acculturation stress,2021,12,사회학,교육학,1
acculturation stress,2022,8,교육학,사회과학 일반,1
acculturation stress,2023,8,사회과학 일반,사회학,1
acculturation stress,2023,8,사회학,행정학,1
acculturation stress,2023,8,행정학,사회학,1
acculturation stress,2024,4,사회학,교육학,1
acculturation stress,2024,5,교육학,사회학,1
acculturation stress,2024,11,사회과학 일반,교육학,1
acculturation stress,2024,11,사회학,사회과학 일반,1
acculturative stress,2021,6,사회학,교육학,1
acculturative stress,2022,5,교육학,지리학,1
acculturative stress,2022,10,지리학,사회과학 일반,1
acculturative stress,2023,4,사회과학 일반,관광학,1
acculturative stress,2023,8,관광학,교육학,1
acculturative stress,2023,9,교육학,사회학,1
acculturative stress,2023,12,사회학,관광학,1
acculturative stress,2024,8,관광학,교육학,1
acculturative stress,2025,2,교육학,관광학,1
acculturative stress,2025,8,관광학,지리학,1
acculturative stress,2025,11,사회과학 일반,사회학,1
acculturative stress,2025,11,지리학,사회과학 일반,1
accuracy,2021,9,무역학,정치외교학,1
accuracy,2021,10,정치외교학,군사학,1
accuracy,2022,2,군사학,무역학,1
accuracy,2022,8,무역학,교육학,1
accuracy,2022,12,교육학,경영학,1
accuracy,2023,5,경영학,지리학,1
accuracy,2024,2,지리학,신문방송학,1
accuracy,2024,12,신문방송학,무역학,1
accuracy,2025,3,무역학,신문방송학,1
accuracy,2025,6,신문방송학,법학,1
achievement,2022,12,경영학,지리학,1
achievement,2022,12,교육학,경영학,1
achievement,2023,5,지리학,교육학,1
achievement,2023,10,교육학,경제학,1
achievement,2023,11,경제학,교육학,1
achievement goal orientation,2021,6,교육학,관광학,1
achievement goal orientation,2022,4,관광학,경영학,1
achievement goal orientation,2022,12,경영학,교육학,1
achievement goal orientation,2023,3,교육학,경영학,1
achievement goal orientation,2023,4,경영학,교육학,1
achievement goal orientation,2024,9,교육학,행정학,1
achievement goal orientation,2024,10,행정학,교육학,1
achievement goal orientation,2025,10,교육학,사회학,1
achievement motivation,2021,4,행정학,사회과학 일반,1
achievement motivation,2021,6,사회과학 일반,교육학,1
achievement motivation,2021,12,교육학,경영학,1
achievement motivation,2022,4,경영학,교육학,1
achievement motivation,2022,8,교육학,사회과학 일반,1
achievement motivation,2022,11,사회과학 일반,지리학,1
achievement motivation,2023,1,지리학,경영학,1
achievement motivation,2023,6,경영학,사회학,1
achievement motivation,2024,5,사회학,사회과학 일반,1
acquisition,2021,4,법학,경제학,1
acquisition,2021,5,경제학,법학,1
acquisition,2021,9,법학,경제학,1
acquisition,2021,10,경제학,법학,1
acquisition,2021,12,법학,경제학,1
acquisition,2022,2,경제학,법학,1
acquisition,2022,4,법학,경제학,1
acquisition,2022,5,경제학,법학,1
acquisition,2022,9,법학,군사학,1
acquisition,2022,10,군사학,법학,1
acquisition,2023,2,군사학,법학,1
acquisition,2023,2,법학,군사학,1
acquisition,2023,3,군사학,법학,1
acquisition,2023,3,법학,군사학,1
acquisition,2023,9,군사학,법학,1
acquisition,2023,9,법학,군사학,2
acquisition,2023,11,군사학,법학,1
acquisition,2024,2,경영학,법학,1
acquisition,2024,2,법학,경영학,1
acquisition,2024,8,경영학,법학,1
acquisition,2024,8,법학,경영학,1
acquisition,2024,9,군사학,법학,1
acquisition,2024,9,법학,군사학,1
acquisition,2024,11,경영학,법학,1
acquisition,2024,11,법학,경영학,1
acquisition,2024,12,군사학,법학,1
acquisition,2024,12,법학,군사학,1
acquisition,2025,2,군사학,법학,1
acquisition,2025,2,법학,군사학,1
acquisition,2025,3,군사학,법학,1
acquisition,2025,3,법학,군사학,1
acquisition,2025,8,법학,경제학,1
acquisition,2025,10,경제학,군사학,1
acquisitive,2021,4,경제학,법학,1
action,2021,5,법학,교육학,1
action,2021,6,교육학,법학,1
action,2021,11,법학,교육학,1
action,2021,12,교육학,군사학,1
action,2021,12,군사학,법학,1
action,2022,5,법학,교육학,1
action,2022,6,교육학,법학,1
action,2022,6,법학,인류학,1
action,2022,7,경제학,법학,1
action,2022,7,인류학,경제학,1
action,2022,11,법학,경제학,1
action,2022,12,경제학,법학,1
action,2023,3,법학,사회과학 일반,1
action,2023,3,사회과학 일반,법학,1
action,2023,12,군사학,법학,1
action,2023,12,법학,군사학,1
action,2024,2,법학,교육학,1
action,2024,3,교육학,법학,1
action,2024,8,법학,사회학,1
action,2024,9,사회학,법학,1
action,2025,6,법학,인류학,1
action,2025,6,인류학,법학,1
action,2025,10,관광학,법학,1
action,2025,10,법학,관광학,1
action research,2021,11,교육학,사회학,1
action research,2022,6,사회학,교육학,1
action research,2022,8,교육학,경영학,1
action research,2022,10,경영학,교육학,1
action research,2023,5,교육학,사회학,1
action research,2023,11,사회학,신문방송학,1
action research,2024,2,신문방송학,교육학,1
action research,2024,6,교육학,정치외교학,1
action research,2024,6,정치외교학,교육학,1
action research,2025,4,교육학,사회학,1
action research,2025,6,사회학,교육학,1
activation,2021,12,법학,군사학,1
activation,2022,6,군사학,경제학,1
activation,2023,3,경제학,행정학,1
activation,2023,4,행정학,관광학,1
activation,2023,9,관광학,경영학,1
activation,2023,12,경영학,법학,1
activation,2025,2,법학,교육학,1
active,2021,6,경제학,법학,1
active,2021,9,법학,경제학,1
active,2021,12,경제학,법학,1
active,2022,6,법학,군사학,1
active,2022,10,군사학,경제학,1
active,2023,2,경제학,군사학,1
active,2023,12,경제학,사회학,1
active,2023,12,군사학,경제학,1
active,2024,2,사회학,법학,1
active,2025,3,법학,군사학,1
active,2025,4,군사학,법학,1
active,2025,6,법학,군사학,1
active,2025,9,군사학,법학,1
active aging,2023,1,사회학,관광학,1
active aging,2025,6,관광학,지리학,1
activism,2024,6,법학,사회학,1
activism,2025,6,사회학,법학,1
activist,2022,10,법학,사회학,1
activist,2022,12,사회과학 일반,사회학,1
activist,2022,12,사회학,사회과학 일반,1
activist,2023,4,사회학,법학,1
activist,2023,12,법학,교육학,1
activist,2024,6,교육학,인류학,1
activist,2025,2,인류학,법학,1
activist,2025,8,법학,교육학,1
activities,2021,3,법학,교육학,1
activities,2021,4,교육학,법학,1
activities,2021,4,법학,경제학,1
activities,2021,6,경제학,법학,1
activities,2021,6,법학,교육학,1
activities,2021,8,교육학,법학,1
activities,2021,9,경제학,군사학,1
activities,2021,9,군사학,교육학,1
activities,2021,9,법학,경제학,1
activities,2021,10,교육학,군사학,1
activities,2021,11,군사학,지리학,1
activities,2021,12,지리학,법학,1
activities,2022,6,경제학,법학,1
activities,2022,6,법학,경제학,1
activities,2022,9,법학,사회과학 일반,1
activities,2022,11,사회과학 일반,법학,1
activities,2023,6,법학,경제학,1
activities,2023,8,경제학,법학,1
activities,2023,12,법학,군사학,1
activities,2023,12,법학,지리학,1
activities,2023,12,지리학,법학,1
activities,2024,1,군사학,법학,1
activities,2024,6,경제학,법학,1
activities,2024,6,군사학,법학,1
activities,2024,6,법학,경제학,1
activities,2024,6,법학,군사학,1
activities,2024,10,경영학,법학,1
activities,2024,10,법학,경영학,1
activities,2024,12,경제학,법학,1
activities,2024,12,법학,경제학,1
activities,2024,12,법학,군사학,1
activities,2025,2,군사학,법학,1
activities,2025,6,법학,군사학,1
activities,2025,9,군사학,법학,1
activities,2025,10,경제학,법학,1
activities,2025,10,법학,경제학,1
actor,2022,4,인류학,정치외교학,1
actor,2022,10,정치외교학,법학,1
actor,2022,12,법학,지리학,1
actor,2023,6,지리학,군사학,1
actor,2023,11,군사학,법학,1
actor,2023,12,법학,인류학,1
actor,2024,6,인류학,사회학,1
actor,2025,2,사회학,정치외교학,1
actor,2025,5,정치외교학,법학,1
actor-network theory,2021,12,정치외교학,지리학,1
actor-network theory,2022,2,지리학,사회학,1
actor-network theory,2022,9,사회학,교육학,1
actor-network theory,2022,11,교육학,사회학,1
actor-network theory,2022,12,사회학,신문방송학,1
actor-network theory,2023,1,신문방송학,교육학,1
actor-network theory,2023,3,교육학,사회학,1
actor-network theory,2023,6,사회학,신문방송학,1
actor-network theory,2023,6,신문방송학,지리학,1
actor-network theory,2023,7,지리학,사회학,1
actor-network theory,2023,9,사회학,사회과학 일반,1
actor-network theory,2023,11,사회과학 일반,사회학,1
actor-network theory,2024,11,사회학,신문방송학,1
actor-network theory,2024,12,신문방송학,사회학,1
actor-network theory,2025,3,사회학,행정학,1
actor-network theory,2025,4,행정학,교육학,1
actor-network theory,2025,6,교육학,사회학,1
actor-network theory,2025,10,사회학,사회과학 일반,1
actual,2023,4,법학,경제학,1
actual,2023,8,경제학,법학,1
adaptation,2021,6,법학,군사학,1
adaptation,2021,12,군사학,사회학,1
adaptation,2022,2,군사학,행정학,1
adaptation,2022,2,사회학,군사학,1
adaptation,2022,4,행정학,교육학,1
adaptation,2022,6,교육학,법학,1
adaptation,2022,12,법학,인류학,1
adaptation,2022,12,인류학,법학,1
adaptation,2023,2,법학,지리학,1
adaptation,2023,3,지리학,무역학,1
adaptation,2023,5,무역학,지리학,1
adaptation,2023,6,법학,교육학,1
adaptation,2023,6,지리학,법학,1
adaptation,2023,10,교육학,군사학,1
adaptation,2024,2,군사학,법학,1
adaptation,2024,5,법학,지리학,1
adaptation,2024,9,지리학,법학,1
adaptation,2025,6,법학,교육학,1
adaptation,2025,6,법학,지리학,1
adaptation,2025,6,지리학,법학,1
adaptation,2025,8,교육학,지리학,1
adaptive performance,2021,5,경영학,사회학,1
adaptive performance,2021,8,사회학,경영학,1
adaptive performance,2024,12,경영학,행정학,1
adaptive performance,2025,4,행정학,사회과학 일반,1
adaptive performance,2025,10,사회과학 일반,경영학,1
added,2022,12,법학,경제학,1
