KYWD,2021,2022,2023,2024,2025,2026
anxiety,11.0,12.0,9.0,11.0,8.0,8.0
apartment,7.0,12.0,4.0,0.0,0.0,0.0
appeal,5.0,8.0,9.0,6.0,5.0,0.0
appeals,0.0,0.0,6.0,2.0,0.0,0.0
appellate,0.0,0.0,0.0,5.0,0.0,0.0
applicable,6.0,7.0,9.0,5.0,4.0,0.0
appraisal,7.0,7.0,9.0,10.0,6.0,6.0
approach,13.0,6.0,10.0,11.0,13.0,11.0
appropriation,5.0,1.0,0.0,0.0,0.0,0.0
approval,6.0,6.0,7.0,5.0,6.0,4.0
arbitral,5.0,0.0,0.0,0.0,0.0,0.0
arbitration,26.0,11.0,18.0,11.0,15.0,10.0
architecture,0.0,0.0,0.0,6.0,3.0,0.0
ardl,0.0,0.0,0.0,6.0,4.0,0.0
area,7.0,13.0,12.0,13.0,10.0,10.0
areas,0.0,12.0,6.0,6.0,9.0,7.0
argentina,0.0,0.0,0.0,5.0,2.0,0.0
argumentation,5.0,3.0,0.0,0.0,0.0,0.0
aristotle,0.0,5.0,4.0,0.0,0.0,0.0
armed,0.0,0.0,5.0,6.0,4.0,0.0
arrangement,0.0,0.0,6.0,5.0,2.0,0.0
arrest,0.0,0.0,8.0,0.0,0.0,0.0
art,11.0,16.0,8.0,11.0,12.0,9.0
art appreciation,0.0,7.0,6.0,1.0,0.0,0.0
art education,10.0,9.0,2.0,8.0,11.0,8.0
article,43.0,46.0,44.0,52.0,55.0,58.0
articles,0.0,6.0,4.0,5.0,7.0,5.0
artificial,0.0,6.0,2.0,0.0,0.0,0.0
artificial intelligence,102.0,90.0,183.0,278.0,351.0,276.0
artificial intelligence education,0.0,6.0,9.0,8.0,4.0,0.0
artificial neural network,0.0,0.0,6.0,1.0,0.0,0.0
as,11.0,15.0,11.0,5.0,6.0,2.0
asean,12.0,17.0,18.0,8.0,8.0,5.0
asia,15.0,14.0,9.0,12.0,6.0,5.0
asian,0.0,0.0,0.0,5.0,1.0,0.0
assembly,8.0,7.0,11.0,12.0,17.0,16.0
assessment,27.0,16.0,16.0,33.0,26.0,29.0
asset,30.0,27.0,43.0,30.0,49.0,44.0
assignment,6.0,4.0,0.0,6.0,4.0,0.0
assistance,8.0,7.0,7.0,7.0,6.0,6.0
assistant,9.0,1.0,0.0,0.0,0.0,0.0
assisted,0.0,0.0,5.0,2.0,0.0,0.0
association,11.0,10.0,21.0,9.0,15.0,10.0
assurance,0.0,0.0,5.0,2.0,0.0,0.0
asymmetric,5.0,1.0,0.0,0.0,0.0,4.0
asymmetric cost behavior,8.0,3.0,0.0,0.0,0.0,0.0
asymmetry,10.0,11.0,8.0,10.0,4.0,0.0
at,15.0,8.0,8.0,6.0,8.0,5.0
attachment,0.0,10.0,9.0,5.0,1.0,0.0
attack,0.0,5.0,0.0,0.0,0.0,0.0
attention,0.0,0.0,5.0,4.0,0.0,0.0
attitude,17.0,24.0,28.0,22.0,17.0,14.0
attitudes,6.0,7.0,3.0,0.0,0.0,5.0
attractiveness,5.0,2.0,0.0,6.0,1.0,0.0
attribution,0.0,7.0,3.0,10.0,4.0,0.0
atypical big data analysis,0.0,5.0,0.0,0.0,0.0,0.0
auction,8.0,5.0,4.0,0.0,0.0,0.0
audit,11.0,13.0,8.0,8.0,11.0,9.0
audit fees,6.0,5.0,5.0,2.0,0.0,0.0
audit hours,8.0,8.0,5.0,3.0,0.0,0.0
audit quality,0.0,7.0,5.0,7.0,5.0,5.0
auditor,5.0,1.0,0.0,0.0,0.0,0.0
auf,0.0,5.0,5.0,11.0,4.0,0.0
augmented reality,6.0,8.0,2.0,0.0,0.0,0.0
aukus,0.0,5.0,1.0,0.0,0.0,0.0
australia,8.0,3.0,0.0,0.0,0.0,0.0
australian,5.0,0.0,0.0,0.0,0.0,0.0
authentic leadership,9.0,6.0,6.0,6.0,2.0,0.0
authenticity,12.0,14.0,14.0,10.0,6.0,5.0
authoritarianism,7.0,7.0,6.0,8.0,2.0,0.0
authority,17.0,20.0,16.0,19.0,18.0,19.0
autism spectrum disorder,0.0,7.0,2.0,6.0,4.0,0.0
autoethnography,0.0,0.0,0.0,5.0,1.0,0.0
automated,0.0,0.0,0.0,6.0,9.0,9.0
automatic,0.0,0.0,5.0,6.0,7.0,5.0
automation,0.0,5.0,9.0,6.0,4.0,0.0
automotive industry,0.0,6.0,5.0,5.0,1.0,0.0
autonomous,13.0,16.0,24.0,17.0,22.0,16.0
autonomy,40.0,34.0,40.0,32.0,29.0,25.0
autonomy decentralization,0.0,0.0,5.0,0.0,0.0,0.0
autonomy support,5.0,3.0,0.0,0.0,0.0,0.0
autoregressive,0.0,0.0,0.0,5.0,0.0,0.0
autoregressive cross-lagged model,5.0,5.0,1.0,7.0,1.0,0.0
avatar,0.0,0.0,6.0,3.0,0.0,0.0
avoidance,15.0,8.0,8.0,8.0,10.0,9.0
awareness,13.0,6.0,4.0,14.0,15.0,15.0
b,7.0,2.0,5.0,7.0,3.0,0.0
b2b,0.0,0.0,7.0,3.0,0.0,0.0
baby boomers,11.0,3.0,0.0,6.0,2.0,0.0
bakery cafe,0.0,0.0,0.0,5.0,4.0,0.0
balance,7.0,7.0,12.0,16.0,5.0,5.0
balanced,5.0,7.0,6.0,6.0,0.0,0.0
balanced development,0.0,0.0,6.0,5.0,4.0,0.0
balanced national development,0.0,5.0,0.0,0.0,0.0,0.0
balanced regional development,0.0,0.0,6.0,6.0,2.0,0.0
balancing,0.0,7.0,5.0,10.0,5.0,6.0
ban,5.0,1.0,0.0,0.0,0.0,0.0
bank,15.0,12.0,13.0,12.0,9.0,7.0
bankruptcy,9.0,7.0,3.0,7.0,5.0,0.0
bargaining,20.0,11.0,22.0,16.0,13.0,12.0
barriers,0.0,0.0,0.0,8.0,2.0,0.0
base,5.0,4.0,9.0,8.0,6.0,5.0
based,25.0,26.0,36.0,37.0,50.0,46.0
basic,29.0,26.0,29.0,21.0,30.0,24.0
basic income,10.0,8.0,6.0,3.0,0.0,0.0
basic psychological needs,0.0,0.0,7.0,4.0,0.0,7.0
basis,8.0,3.0,9.0,5.0,1.0,0.0
battery,0.0,0.0,6.0,3.0,0.0,0.0
bbnj,0.0,6.0,0.0,0.0,0.0,0.0
be,7.0,7.0,14.0,3.0,0.0,0.0
becoming,5.0,3.0,0.0,0.0,0.0,0.0
behavior,19.0,11.0,14.0,12.0,8.0,7.0
behavioral,5.0,2.0,0.0,0.0,0.0,0.0
behavioral intention,55.0,71.0,43.0,41.0,36.0,31.0
belt and road initiative,9.0,4.0,0.0,0.0,0.0,0.0
beneficial,0.0,0.0,5.0,1.0,0.0,0.0
beneficiary,0.0,5.0,5.0,9.0,6.0,0.0
benefit,22.0,20.0,26.0,26.0,23.0,24.0
beps,0.0,0.0,5.0,3.0,0.0,0.0
best,0.0,0.0,6.0,4.0,0.0,0.0
between,22.0,14.0,15.0,11.0,5.0,4.0
beyond,0.0,5.0,1.0,0.0,0.0,0.0
bias,8.0,2.0,8.0,17.0,4.0,0.0
bibliometric analysis,0.0,5.0,8.0,8.0,8.0,6.0
bicultural acceptance attitudes,0.0,0.0,0.0,7.0,1.0,0.0
biden,9.0,3.0,0.0,0.0,0.0,0.0
biden administration,9.0,0.0,0.0,0.0,0.0,0.0
big,16.0,11.0,8.0,5.0,7.0,4.0
big data,47.0,46.0,49.0,28.0,18.0,12.0
big data analysis,6.0,12.0,5.0,5.0,5.0,3.0
big five personality traits,0.0,0.0,0.0,5.0,1.0,0.0
bigdata,6.0,5.0,2.0,0.0,0.0,0.0
bilateral,0.0,5.0,2.0,0.0,0.0,0.0
bill,7.0,10.0,10.0,6.0,5.0,0.0
binding,6.0,7.0,8.0,5.0,4.0,0.0
biodiversity,0.0,0.0,5.0,8.0,1.0,0.0
biological,6.0,2.0,0.0,0.0,0.0,0.0
biopolitics,5.0,1.0,0.0,0.0,0.0,0.0
birth,7.0,5.0,7.0,10.0,8.0,7.0
birth registration,5.0,0.0,0.0,0.0,0.0,0.0
bitcoin,6.0,8.0,3.0,5.0,7.0,4.0
blended learning,0.0,6.0,2.0,0.0,0.0,0.0
blockchain,21.0,25.0,28.0,28.0,19.0,20.0
board,10.0,8.0,15.0,13.0,8.0,8.0
body,9.0,5.0,5.0,14.0,9.0,11.0
bond,8.0,6.0,7.0,6.0,7.0,7.0
book,0.0,0.0,0.0,5.0,3.0,0.0
border,23.0,11.0,10.0,9.0,16.0,12.0
borich,0.0,0.0,5.0,6.0,6.0,4.0
boundary,7.0,2.0,0.0,0.0,0.0,0.0
bourdieu,6.0,0.0,0.0,0.0,0.0,0.0
brand,5.0,3.0,0.0,0.0,0.0,0.0
brand attachment,5.0,6.0,8.0,6.0,1.0,0.0
brand attitude,12.0,19.0,12.0,7.0,20.0,15.0
brand equity,5.0,2.0,5.0,1.0,0.0,3.0
brand experience,0.0,0.0,5.0,1.0,0.0,0.0
brand image,19.0,8.0,12.0,12.0,19.0,17.0
brand love,0.0,0.0,0.0,5.0,2.0,0.0
brand loyalty,14.0,15.0,16.0,9.0,18.0,15.0
brand trust,0.0,7.0,7.0,2.0,0.0,4.0
brazil,14.0,5.0,6.0,7.0,3.0,0.0
breach,11.0,11.0,8.0,5.0,11.0,8.0
brexit,8.0,3.0,0.0,0.0,0.0,0.0
broadcasting,7.0,7.0,10.0,15.0,9.0,10.0
broadcasting market,0.0,0.0,0.0,5.0,0.0,0.0
brokerage,0.0,5.0,3.0,5.0,1.0,0.0
bts,10.0,5.0,9.0,3.0,0.0,0.0
buddhism,0.0,0.0,0.0,5.0,2.0,0.0
budget,9.0,4.0,0.0,5.0,8.0,5.0
building,14.0,15.0,15.0,11.0,20.0,16.0
buildings,0.0,0.0,5.0,1.0,0.0,7.0
bullying,8.0,5.0,2.0,9.0,2.0,0.0
burden,20.0,9.0,13.0,26.0,11.0,12.0
bureaucracy,0.0,0.0,0.0,5.0,1.0,0.0
burnout,24.0,12.0,17.0,20.0,12.0,11.0
busan,8.0,11.0,8.0,12.0,9.0,8.0
business,60.0,73.0,58.0,48.0,58.0,56.0
business ethics,0.0,0.0,5.0,1.0,0.0,0.0
business model,5.0,10.0,10.0,6.0,1.0,0.0
business model innovation,0.0,0.0,6.0,2.0,0.0,0.0
business performance,12.0,7.0,14.0,12.0,8.0,7.0
businesses,0.0,0.0,0.0,5.0,3.0,0.0
by,35.0,46.0,43.0,34.0,21.0,17.0
c,5.0,3.0,6.0,2.0,0.0,0.0
calculation,6.0,10.0,7.0,8.0,4.0,0.0
calling,6.0,6.0,6.0,5.0,3.0,0.0
camera,0.0,0.0,0.0,5.0,3.0,0.0
canada,0.0,0.0,5.0,4.0,0.0,0.0
cancellation,13.0,7.0,6.0,3.0,0.0,0.0
candidate,0.0,5.0,5.0,3.0,0.0,0.0
capability,12.0,5.0,8.0,8.0,11.0,9.0
capacity,5.0,11.0,9.0,4.0,0.0,5.0
capital,24.0,29.0,21.0,28.0,25.0,28.0
capitalism,16.0,15.0,12.0,9.0,6.0,4.0
capstone design,0.0,0.0,0.0,5.0,1.0,0.0
car,5.0,4.0,0.0,0.0,0.0,0.0
carbon,17.0,28.0,22.0,25.0,17.0,17.0
carbon neutral,5.0,0.0,0.0,0.0,0.0,0.0
carbon neutrality,10.0,9.0,16.0,19.0,16.0,15.0
care,38.0,23.0,34.0,50.0,38.0,42.0
care ethics,0.0,0.0,0.0,5.0,1.0,0.0
care work,5.0,2.0,0.0,6.0,4.0,0.0
care worker,5.0,2.0,0.0,0.0,0.0,4.0
career,0.0,6.0,2.0,0.0,0.0,0.0
career adaptability,6.0,7.0,6.0,6.0,10.0,8.0
career barriers,7.0,5.0,3.0,5.0,3.0,0.0
career counseling,5.0,0.0,0.0,7.0,3.0,0.0
career decision level,0.0,5.0,5.0,2.0,0.0,0.0
career decision-making,8.0,3.0,6.0,3.0,0.0,0.0
career decision-making self-efficacy,16.0,5.0,9.0,7.0,6.0,5.0
career development,5.0,2.0,11.0,2.0,0.0,0.0
career development competency,5.0,4.0,0.0,0.0,0.0,0.0
career education,5.0,6.0,5.0,5.0,3.0,0.0
career maturity,8.0,11.0,7.0,10.0,9.0,8.0
career preparation behavior,9.0,9.0,10.0,8.0,12.0,10.0
career teacher,0.0,5.0,0.0,0.0,0.0,0.0
caring,7.0,4.0,0.0,0.0,0.0,0.0
carrier,0.0,7.0,1.0,0.0,0.0,0.0
case,22.0,27.0,16.0,13.0,17.0,13.0
case rulings,0.0,0.0,6.0,4.0,0.0,0.0
case study,39.0,22.0,41.0,28.0,31.0,20.0
cases,7.0,13.0,10.0,7.0,8.0,5.0
cash,0.0,7.0,8.0,5.0,1.0,0.0
causality,13.0,6.0,10.0,7.0,4.0,0.0
causation,0.0,0.0,7.0,2.0,0.0,4.0
cause,0.0,0.0,7.0,2.0,0.0,0.0
cbam,0.0,0.0,9.0,2.0,0.0,0.0
cbdc,0.0,5.0,5.0,4.0,0.0,0.0
ccus,0.0,5.0,0.0,0.0,0.0,0.0
center,7.0,5.0,9.0,8.0,8.0,6.0
centered,7.0,4.0,0.0,0.0,0.0,0.0
central,7.0,5.0,9.0,4.0,0.0,5.0
central asia,12.0,16.0,14.0,10.0,14.0,10.0
centrality,6.0,12.0,5.0,0.0,0.0,0.0
ceo,12.0,12.0,7.0,16.0,7.0,8.0
certificate,8.0,2.0,8.0,3.0,0.0,0.0
certification,9.0,4.0,6.0,7.0,6.0,5.0
chaebol,0.0,0.0,0.0,8.0,1.0,0.0
chain,6.0,6.0,15.0,7.0,6.0,3.0
change,29.0,38.0,32.0,34.0,43.0,39.0
changes,5.0,10.0,4.0,0.0,0.0,0.0
channel,0.0,0.0,5.0,4.0,0.0,0.0
character,7.0,5.0,11.0,4.0,0.0,5.0
character education,6.0,2.0,0.0,0.0,0.0,0.0
characteristic,6.0,1.0,0.0,0.0,0.0,0.0
characteristics,7.0,10.0,14.0,16.0,5.0,5.0
charge,0.0,0.0,7.0,5.0,5.0,0.0
charter,0.0,6.0,4.0,0.0,0.0,0.0
chat gpt,0.0,0.0,0.0,8.0,2.0,0.0
chatbot,0.0,8.0,5.0,2.0,0.0,3.0
chatgpt,0.0,0.0,33.0,36.0,26.0,26.0
chemical,0.0,0.0,5.0,1.0,0.0,0.0
child,19.0,23.0,19.0,24.0,14.0,13.0
child abuse,8.0,5.0,8.0,5.0,6.0,3.0
childbirth,7.0,2.0,0.0,5.0,3.0,0.0
childcare,8.0,5.0,6.0,6.0,2.0,0.0
childcare teacher,14.0,15.0,9.0,9.0,6.0,6.0
children,24.0,15.0,14.0,21.0,16.0,17.0
children with disabilities,0.0,0.0,5.0,3.0,0.0,5.0
children’s rights,8.0,8.0,6.0,4.0,0.0,4.0
chile,5.0,2.0,0.0,0.0,0.0,0.0
china,102.0,89.0,88.0,78.0,76.0,61.0
china rivalry,6.0,0.0,0.0,0.0,0.0,0.0
chinese,12.0,10.0,15.0,9.0,7.0,4.0
chinese consumers,0.0,0.0,6.0,4.0,0.0,0.0
chinese international students,6.0,4.0,0.0,8.0,5.0,5.0
chinese tourists,7.0,3.0,0.0,0.0,0.0,0.0
choi,7.0,1.0,0.0,0.0,0.0,0.0
choice,8.0,6.0,12.0,7.0,7.0,4.0
christianity,0.0,5.0,3.0,5.0,2.0,0.0
chungbuk,0.0,8.0,7.0,4.0,0.0,0.0
chungcheong,0.0,9.0,3.0,7.0,8.0,6.0
chungcheongbuk,6.0,2.0,5.0,4.0,0.0,4.0
circular economy,0.0,0.0,0.0,7.0,5.0,0.0
circumstances,5.0,5.0,3.0,0.0,0.0,0.0
cisg,12.0,9.0,11.0,6.0,5.0,3.0
citation,5.0,0.0,0.0,0.0,0.0,0.0
cities,0.0,0.0,0.0,5.0,8.0,6.0
citizen,11.0,6.0,8.0,6.0,4.0,0.0
citizen participation,7.0,9.0,5.0,3.0,0.0,0.0
citizens,6.0,2.0,0.0,0.0,0.0,4.0
citizenship,15.0,14.0,13.0,9.0,8.0,5.0
citizenship education,5.0,2.0,0.0,0.0,0.0,0.0
city,11.0,12.0,15.0,19.0,8.0,9.0
city diplomacy,0.0,0.0,5.0,2.0,0.0,0.0
city image,5.0,4.0,0.0,0.0,0.0,0.0
civic education,6.0,6.0,4.0,5.0,4.0,0.0
civil,47.0,42.0,41.0,43.0,55.0,55.0
civil society,6.0,10.0,3.0,9.0,5.0,5.0
claim,30.0,26.0,29.0,19.0,23.0,19.0
claims,18.0,9.0,10.0,9.0,11.0,10.0
clarity,0.0,0.0,6.0,2.0,0.0,0.0
class,10.0,12.0,10.0,11.0,11.0,9.0
classification,6.0,8.0,19.0,20.0,11.0,10.0
clause,16.0,14.0,11.0,9.0,16.0,12.0
climate,11.0,26.0,20.0,34.0,45.0,43.0
climate action,0.0,0.0,0.0,5.0,3.0,0.0
climate change,23.0,28.0,27.0,51.0,35.0,39.0
climate crisis,8.0,14.0,15.0,20.0,14.0,14.0
climate justice,0.0,5.0,7.0,8.0,9.0,8.0
cluster,0.0,5.0,2.0,0.0,0.0,6.0
cluster analysis,18.0,14.0,15.0,19.0,16.0,16.0
clustering,0.0,0.0,0.0,7.0,3.0,0.0
cnn,0.0,0.0,0.0,6.0,1.0,0.0
co,12.0,16.0,8.0,5.0,12.0,7.0
coaching leadership,0.0,7.0,4.0,8.0,6.0,6.0
coast,0.0,0.0,0.0,7.0,1.0,0.0
code,30.0,21.0,19.0,31.0,34.0,33.0
coefficient,0.0,0.0,0.0,5.0,3.0,0.0
coercion,0.0,5.0,8.0,1.0,0.0,0.0
coexistence,0.0,0.0,5.0,5.0,7.0,5.0
coffee shop,6.0,5.0,4.0,5.0,5.0,4.0
cognitive,5.0,3.0,5.0,5.0,2.0,0.0
cognitive function,6.0,5.0,3.0,0.0,0.0,0.0
cointegration,6.0,2.0,0.0,0.0,0.0,0.0
cold war,7.0,18.0,6.0,9.0,5.0,5.0
collaboration,8.0,6.0,6.0,5.0,13.0,8.0
collaborative governance,0.0,0.0,7.0,11.0,10.0,10.0
collateral,0.0,0.0,7.0,2.0,0.0,0.0
collection,6.0,7.0,12.0,9.0,15.0,12.0
collective,28.0,26.0,35.0,29.0,25.0,25.0
collectivism,0.0,0.0,0.0,5.0,7.0,6.0
college life adaptation,0.0,0.0,5.0,4.0,0.0,0.0
college students,16.0,16.0,18.0,23.0,14.0,15.0
colonialism,5.0,5.0,6.0,5.0,6.0,5.0
combat,5.0,2.0,7.0,6.0,14.0,11.0
combination,0.0,5.0,1.0,0.0,0.0,0.0
comfort women,7.0,3.0,0.0,0.0,0.0,0.0
command,0.0,11.0,2.0,12.0,5.0,5.0
commerce,7.0,5.0,5.0,6.0,10.0,9.0
commercial,22.0,11.0,12.0,23.0,29.0,27.0
commercialization,0.0,0.0,0.0,5.0,3.0,0.0
commission,16.0,22.0,24.0,17.0,16.0,13.0
commitment,16.0,5.0,4.0,7.0,5.0,5.0
committee,20.0,18.0,20.0,19.0,18.0,17.0
commodity,0.0,0.0,6.0,1.0,0.0,0.0
common,11.0,13.0,13.0,11.0,13.0,10.0
commons,0.0,9.0,24.0,6.0,4.0,0.0
communication,33.0,31.0,32.0,30.0,23.0,23.0
communication ability,5.0,3.0,0.0,0.0,0.0,0.0
communications,6.0,7.0,4.0,9.0,7.0,6.0
community,23.0,25.0,29.0,19.0,18.0,14.0
community care,11.0,9.0,4.0,9.0,5.0,0.0
community child center,0.0,0.0,6.0,3.0,0.0,0.0
community welfare,0.0,0.0,5.0,0.0,0.0,0.0
